Rivers,Gauge Sites,Date,Up Stream,Down Stream
INDUS,Kalabagh,15-Jun-19,148191,141191
INDUS,Chashma,15-Jun-19,176511,170011
INDUS,Taunsa,15-Jun-19,162207,145175
INDUS,Guddu,15-Jun-19,91613,70374
INDUS,Sukkar,15-Jun-19,62480,26760
INDUS,Kotri,15-Jun-19,15385,Nil
JHELUM,Kotli,15-Jun-19,-,4400
JHELUM,Mangla,15-Jun-19,60000,75000
JHELUM,Rasul,15-Jun-19,60995,39230
CHENAB,Jammu Tavi,15-Jun-19,,
CHENAB,Marala,15-Jun-19,41387,11512
CHENAB,Khanki,15-Jun-19,19797,12455
CHENAB,Qadirabad,15-Jun-19,37353,18353
CHENAB,Trimmu,15-Jun-19,27691,17091
CHENAB,Punjnad,15-Jun-19,10526,
RAVI,Jassar,15-Jun-19,-,5337
RAVI,Balloki,15-Jun-19,,
RAVI,Sidhnai,15-Jun-19,,
SUTLEJ,Sulemanki,15-Jun-19,18836,7533
SUTLEJ,Islam,15-Jun-19,5866,4866
INDUS,Kalabagh,15-Jun-19,174569,167569
INDUS,Chashma,15-Jun-19,176764,170264
INDUS,Taunsa,15-Jun-19,162407,145175
INDUS,Guddu,15-Jun-19,91613,70374
INDUS,Sukkar,15-Jun-19,62480,26760
INDUS,Kotri,15-Jun-19,15385,NIL
JHELUM,Kotli,15-Jun-19,-,4270
JHELUM,Mangla,15-Jun-19,59800,88487
JHELUM,Rasul,15-Jun-19,65150,43135
CHENAB,Jammu Tavi,15-Jun-19,_,_
CHENAB,Marala,15-Jun-19,45161,15286
CHENAB,Khanki,15-Jun-19,23017,15626
CHENAB,Qadirabad,15-Jun-19,32172,13172
CHENAB,Trimmu,15-Jun-19,27691,17091
CHENAB,Punjnad,15-Jun-19,10526,NIL
RAVI,Jassar,15-Jun-19,-,10709
RAVI,Balloki,15-Jun-19,34645,10845
RAVI,Sidhnai,15-Jun-19,NR,NR
SUTLEJ,Sulemanki,15-Jun-19,18890,7533
SUTLEJ,Islam,15-Jun-19,5866,4866
INDUS,Kalabagh,15-Jun-19,174569,167569
INDUS,Chashma,15-Jun-19,176600,170100
INDUS,Taunsa,15-Jun-19,162407,145175
INDUS,Guddu,15-Jun-19,91613,70374
INDUS,Sukkar,15-Jun-19,62480,26760
INDUS,Kotri,15-Jun-19,15385,NIL
JHELUM,Kotli,15-Jun-19,,4150
JHELUM,Mangla,15-Jun-19,69000,88487
JHELUM,Rasul,15-Jun-19,65150,43135
CHENAB,Jammu Tavi,15-Jun-19,-,-
CHENAB,Marala,15-Jun-19,45161,15286
CHENAB,Khanki,15-Jun-19,19845,12455
CHENAB,Qadirabad,15-Jun-19,34745,15745
CHENAB,Trimmu,15-Jun-19,29730,19130
CHENAB,Punjnad,15-Jun-19,10526,Nil
RAVI,Jassar,15-Jun-19,-,10709
RAVI,Balloki,15-Jun-19,34645,10845
RAVI,Sidhnai,15-Jun-19,15667,2317
SUTLEJ,Sulemanki,15-Jun-19,18890,7533
SUTLEJ,Islam,15-Jun-19,5866,4866
INDUS,Kalabagh,16-Jun-19,151055,144055
INDUS,Chashma,16-Jun-19,176488,169988
INDUS,Taunsa,16-Jun-19,162407,145175
INDUS,Guddu,16-Jun-19,91613,70374
INDUS,Sukkar,16-Jun-19,62550,26200
INDUS,Kotri,16-Jun-19,15445,Nil
JHELUM,Kotli,16-Jun-19,,4020
JHELUM,Mangla,16-Jun-19,60000,88487
JHELUM,Rasul,16-Jun-19,69055,47040
CHENAB,Jammu Tavi,16-Jun-19,,
CHENAB,Marala,16-Jun-19,41387,11512
CHENAB,Khanki,16-Jun-19,14490,7100
CHENAB,Qadirabad,16-Jun-19,37353,18353
CHENAB,Trimmu,16-Jun-19,29730,19130
CHENAB,Punjnad,16-Jun-19,10526,Nil
RAVI,Jassar,16-Jun-19,-,9219
RAVI,Balloki,16-Jun-19,33770,9970
RAVI,Sidhnai,16-Jun-19,15667,2317
SUTLEJ,Sulemanki,16-Jun-19,18041,6331
SUTLEJ,Islam,16-Jun-19,5866,4866
INDUS,Kalabagh,16-Jun-19,164574,157574
INDUS,Chashma,16-Jun-19,176753,170253
INDUS,Taunsa,16-Jun-19,155817,139277
INDUS,Guddu,16-Jun-19,93381,71069
INDUS,Sukkar,16-Jun-19,62550,26200
INDUS,Kotri,16-Jun-19,15445,Nil
JHELUM,Kotli,16-Jun-19,-,4150
JHELUM,Mangla,16-Jun-19,56700,85000
JHELUM,Rasul,16-Jun-19,80770,58755
CHENAB,Jammu Tavi,16-Jun-19,,
CHENAB,Marala,16-Jun-19,45161,15286
CHENAB,Khanki,16-Jun-19,13625,6235
CHENAB,Qadirabad,16-Jun-19,28299,9299
CHENAB,Trimmu,16-Jun-19,29730,19130
CHENAB,Punjnad,16-Jun-19,12234,Nil
RAVI,Jassar,16-Jun-19,-,4999
RAVI,Balloki,16-Jun-19,33770,9970
RAVI,Sidhnai,16-Jun-19,15667,2317
SUTLEJ,Sulemanki,16-Jun-19,18041,6331
SUTLEJ,Islam,16-Jun-19,5597,3597
INDUS,Kalabagh,16-Jun-19,164574,157574
INDUS,Chashma,16-Jun-19,175281,169901
INDUS,Taunsa,16-Jun-19,157103,140428
INDUS,Guddu,16-Jun-19,93381,71069
INDUS,Sukkar,16-Jun-19,62550,26200
INDUS,Kotri,16-Jun-19,15445,NIL
JHELUM,Kotli,16-Jun-19,-,4020
JHELUM,Mangla,16-Jun-19,57000,85000
JHELUM,Rasul,16-Jun-19,80770,58755
CHENAB,Jammu Tavi,16-Jun-19,-,-
CHENAB,Marala,16-Jun-19,45161,15286
CHENAB,Khanki,16-Jun-19,13625,6235
CHENAB,Qadirabad,16-Jun-19,28299,9299
CHENAB,Trimmu,16-Jun-19,31775,21175
CHENAB,Punjnad,16-Jun-19,12234,NIL
RAVI,Jassar,16-Jun-19,-,4829
RAVI,Balloki,16-Jun-19,34645,10845
RAVI,Sidhnai,16-Jun-19,15667,2317
SUTLEJ,Sulemanki,16-Jun-19,16409,5596
SUTLEJ,Islam,16-Jun-19,5597,3597
INDUS,Kalabagh,16-Jun-19,164574,157574
INDUS,Chashma,16-Jun-19,164034,157534
INDUS,Taunsa,16-Jun-19,157103,140428
INDUS,Guddu,16-Jun-19,93381,72069
INDUS,Sukkar,16-Jun-19,62550,26200
INDUS,Kotri,16-Jun-19,15445,NIL
JHELUM,Kotli,16-Jun-19,-,3900
JHELUM,Mangla,16-Jun-19,59000,85000
JHELUM,Rasul,16-Jun-19,84685,62660
CHENAB,Jammu Tavi,16-Jun-19,,
CHENAB,Marala,16-Jun-19,45161,15286
CHENAB,Khanki,16-Jun-19,22036,14646
CHENAB,Qadirabad,16-Jun-19,28299,9299
CHENAB,Trimmu,16-Jun-19,34000,23400
CHENAB,Punjnad,16-Jun-19,12883,NIL
RAVI,Jassar,16-Jun-19,-,4999
RAVI,Balloki,16-Jun-19,34645,10845
RAVI,Sidhnai,16-Jun-19,15667,2317
SUTLEJ,Sulemanki,16-Jun-19,16409,5596
SUTLEJ,Islam,16-Jun-19,5597,3597
INDUS,Kalabagh,17-Jun-19,177433,170433
INDUS,Chashma,17-Jun-19,164889,158389
INDUS,Taunsa,17-Jun-19,161531,144391
INDUS,Guddu,17-Jun-19,97211,73406
INDUS,Sukkar,17-Jun-19,62550,26200
INDUS,Kotri,17-Jun-19,15495,NIL
JHELUM,Kotli,17-Jun-19,-,3780
JHELUM,Mangla,17-Jun-19,58000,85000
JHELUM,Rasul,17-Jun-19,88590,66565
CHENAB,Jammu Tavi,17-Jun-19,,
CHENAB,Marala,17-Jun-19,45161,15286
CHENAB,Khanki,17-Jun-19,22026,14646
CHENAB,Qadirabad,17-Jun-19,32207,13207
CHENAB,Trimmu,17-Jun-19,34000,23400
CHENAB,Punjnad,17-Jun-19,12883,NIL
RAVI,Jassar,17-Jun-19,-,5168
RAVI,Balloki,17-Jun-19,35525,11725
RAVI,Sidhnai,17-Jun-19,15994,2644
SUTLEJ,Sulemanki,17-Jun-19,16400,5587
SUTLEJ,Islam,17-Jun-19,5597,3597
INDUS,Kalabagh,17-Jun-19,152174,145174
INDUS,Chashma,17-Jun-19,164466,157966
INDUS,Taunsa,17-Jun-19,175606,156988
INDUS,Guddu,17-Jun-19,105574,79524
INDUS,Sukkar,17-Jun-19,64520,27250
INDUS,Kotri,17-Jun-19,16160,Nil
JHELUM,Kotli,17-Jun-19,-,4150
JHELUM,Mangla,17-Jun-19,58000,105000
JHELUM,Rasul,17-Jun-19,95617,73592
CHENAB,Jammu Tavi,17-Jun-19,-,-
CHENAB,Marala,17-Jun-19,45386,15286
CHENAB,Khanki,17-Jun-19,18707,11317
CHENAB,Qadirabad,17-Jun-19,25706,6706
CHENAB,Trimmu,17-Jun-19,37888,27288
CHENAB,Punjnad,17-Jun-19,14100,Nil
RAVI,Jassar,17-Jun-19,-,5168
RAVI,Balloki,17-Jun-19,33090,9090
RAVI,Sidhnai,17-Jun-19,15344,2644
SUTLEJ,Sulemanki,17-Jun-19,14722,3212
SUTLEJ,Islam,17-Jun-19,4597,3597
INDUS,Kalabagh,17-Jun-19,135651,128651
INDUS,Chashma,17-Jun-19,163325,156825
INDUS,Taunsa,17-Jun-19,163784,146408
INDUS,Guddu,17-Jun-19,105574,79524
INDUS,Sukkar,17-Jun-19,64520,27250
INDUS,Kotri,17-Jun-19,16160,NIL
JHELUM,Kotli,17-Jun-19,-,4020
JHELUM,Mangla,17-Jun-19,58000,105000
JHELUM,Rasul,17-Jun-19,110107,88082
CHENAB,Jammu Tavi,17-Jun-19,-,-
CHENAB,Marala,17-Jun-19,41612,11512
CHENAB,Khanki,17-Jun-19,14490,7100
CHENAB,Qadirabad,17-Jun-19,28299,9299
CHENAB,Trimmu,17-Jun-19,38689,28089
CHENAB,Punjnad,17-Jun-19,14100,NIL
RAVI,Jassar,17-Jun-19,-,1753
RAVI,Balloki,17-Jun-19,33090,9090
RAVI,Sidhnai,17-Jun-19,16466,3966
SUTLEJ,Sulemanki,17-Jun-19,14822,3212
SUTLEJ,Islam,17-Jun-19,4597,3597
INDUS,Kalabagh,17-Jun-19,146927,139927
INDUS,Chashma,17-Jun-19,171527,165027
INDUS,Taunsa,17-Jun-19,161531,144391
INDUS,Guddu,17-Jun-19,98465,73406
INDUS,Sukkar,17-Jun-19,62550,26200
INDUS,Kotri,17-Jun-19,15495,Nil
JHELUM,Kotli,17-Jun-19,-,3780
JHELUM,Mangla,17-Jun-19,56000,125171
JHELUM,Rasul,17-Jun-19,84685,62660
CHENAB,Jammu Tavi,17-Jun-19,-,-
CHENAB,Marala,17-Jun-19,41612,11512
CHENAB,Khanki,17-Jun-19,14490,7100
CHENAB,Qadirabad,17-Jun-19,28299,9299
CHENAB,Trimmu,17-Jun-19,37888,27288
CHENAB,Punjnad,17-Jun-19,13466,Nil
RAVI,Jassar,17-Jun-19,-,5507
RAVI,Balloki,17-Jun-19,34845,10845
RAVI,Sidhnai,17-Jun-19,15894,2644
SUTLEJ,Sulemanki,17-Jun-19,14722,3212
SUTLEJ,Islam,17-Jun-19,5085,3085
INDUS,Kalabagh,18-Jun-19,160612,153612
INDUS,Chashma,18-Jun-19,170283,164903
INDUS,Taunsa,18-Jun-19,175606,156988
INDUS,Guddu,18-Jun-19,105574,79524
INDUS,Sukkar,18-Jun-19,64520,27250
INDUS,Kotri,18-Jun-19,16160,Nil
JHELUM,Kotli,18-Jun-19,-,3780
JHELUM,Mangla,18-Jun-19,57000,125171
JHELUM,Rasul,18-Jun-19,84885,62660
CHENAB,Jammu Tavi,18-Jun-19,-,-
CHENAB,Marala,18-Jun-19,45386,15286
CHENAB,Khanki,18-Jun-19,14490,7100
CHENAB,Qadirabad,18-Jun-19,28299,9299
CHENAB,Trimmu,18-Jun-19,37888,27288
CHENAB,Punjnad,18-Jun-19,13466,Nil
RAVI,Jassar,18-Jun-19,-,5337
RAVI,Balloki,18-Jun-19,33090,9090
RAVI,Sidhnai,18-Jun-19,15894,2644
SUTLEJ,Sulemanki,18-Jun-19,14722,3212
SUTLEJ,Islam,18-Jun-19,5085,3085
INDUS,Kalabagh,18-Jun-19,152174,145174
INDUS,Chashma,18-Jun-19,164466,157966
INDUS,Taunsa,18-Jun-19,175606,156988
INDUS,Guddu,18-Jun-19,105574,79524
INDUS,Sukkar,18-Jun-19,64520,27250
INDUS,Kotri,18-Jun-19,16160,Nil
JHELUM,Kotli,18-Jun-19,-,4150
JHELUM,Mangla,18-Jun-19,58000,105000
JHELUM,Rasul,18-Jun-19,95617,73592
CHENAB,Jammu Tavi,18-Jun-19,-,-
CHENAB,Marala,18-Jun-19,45386,15286
CHENAB,Khanki,18-Jun-19,18707,11317
CHENAB,Qadirabad,18-Jun-19,25706,6706
CHENAB,Trimmu,18-Jun-19,37888,27288
CHENAB,Punjnad,18-Jun-19,14100,Nil
RAVI,Jassar,18-Jun-19,-,5168
RAVI,Balloki,18-Jun-19,33090,9090
RAVI,Sidhnai,18-Jun-19,15344,2644
SUTLEJ,Sulemanki,18-Jun-19,14722,3212
SUTLEJ,Islam,18-Jun-19,4597,3597
INDUS,Kalabagh,18-Jun-19,135651,128651
INDUS,Chashma,18-Jun-19,163325,156825
INDUS,Taunsa,18-Jun-19,163784,146408
INDUS,Guddu,18-Jun-19,105574,79524
INDUS,Sukkar,18-Jun-19,64520,27250
INDUS,Kotri,18-Jun-19,16160,Nil
JHELUM,Kotli,18-Jun-19,-,4020
JHELUM,Mangla,18-Jun-19,58000,105000
JHELUM,Rasul,18-Jun-19,110107,88082
CHENAB,Jammu Tavi,18-Jun-19,-,-
CHENAB,Marala,18-Jun-19,41612,11512
CHENAB,Khanki,18-Jun-19,14490,7100
CHENAB,Qadirabad,18-Jun-19,28299,9299
CHENAB,Trimmu,18-Jun-19,38689,28089
CHENAB,Punjnad,18-Jun-19,14100,Nil
RAVI,Jassar,18-Jun-19,-,1753
RAVI,Balloki,18-Jun-19,33090,9090
RAVI,Sidhnai,18-Jun-19,16466,3966
SUTLEJ,Sulemanki,18-Jun-19,14822,3212
SUTLEJ,Islam,18-Jun-19,4597,3597
INDUS,Kalabagh,18-Jun-19,154866,147866
INDUS,Chashma,18-Jun-19,164921,159440
INDUS,Taunsa,18-Jun-19,163784,146408
INDUS,Guddu,18-Jun-19,105574,79524
INDUS,Sukkar,18-Jun-19,64520,27250
INDUS,Kotri,18-Jun-19,16160,Nil
JHELUM,Kotli,18-Jun-19,-,3900
JHELUM,Mangla,18-Jun-19,58000,105000
JHELUM,Rasul,18-Jun-19,112579,90554
CHENAB,Jammu Tavi,18-Jun-19,-,-
CHENAB,Marala,18-Jun-19,41712,11512
CHENAB,Khanki,18-Jun-19,13625,6235
CHENAB,Qadirabad,18-Jun-19,28299,9299
CHENAB,Trimmu,18-Jun-19,38689,28089
CHENAB,Punjnad,18-Jun-19,,Nil
RAVI,Jassar,18-Jun-19,-,1842
RAVI,Balloki,18-Jun-19,33090,9090
RAVI,Sidhnai,18-Jun-19,15117,2317
SUTLEJ,Sulemanki,18-Jun-19,14822,3212
SUTLEJ,Islam,18-Jun-19,4597,3597
INDUS,Kalabagh,19-Jun-19,169316,162316
INDUS,Chashma,19-Jun-19,165595,160009
INDUS,Taunsa,19-Jun-19,166470,148682
INDUS,Guddu,19-Jun-19,116902,90329
INDUS,Sukkar,19-Jun-19,67010,28290
INDUS,Kotri,19-Jun-19,16245,Nil
JHELUM,Kotli,19-Jun-19,-,4020
JHELUM,Mangla,19-Jun-19,58000,101570
JHELUM,Rasul,19-Jun-19,112579,90554
CHENAB,Jammu Tavi,19-Jun-19,-,-
CHENAB,Marala,19-Jun-19,45486,15286
CHENAB,Khanki,19-Jun-19,13625,6235
CHENAB,Qadirabad,19-Jun-19,28299,9299
CHENAB,Trimmu,19-Jun-19,38689,28089
CHENAB,Punjnad,19-Jun-19,15332,1232
RAVI,Jassar,19-Jun-19,-,2035
RAVI,Balloki,19-Jun-19,33090,9090
RAVI,Sidhnai,19-Jun-19,14117,2317
SUTLEJ,Sulemanki,19-Jun-19,14822,3212
SUTLEJ,Islam,19-Jun-19,4085,3085
INDUS,Kalabagh,19-Jun-19,149779,142779
INDUS,Chashma,19-Jun-19,166484,159984
INDUS,Taunsa,19-Jun-19,162556,145179
INDUS,Guddu,19-Jun-19,116902,90329
INDUS,Sukkar,19-Jun-19,67010,28290
INDUS,Kotri,19-Jun-19,16245,Nil
JHELUM,Kotli,19-Jun-19,-,3900
JHELUM,Mangla,19-Jun-19,57000,105166
JHELUM,Rasul,19-Jun-19,107573,85548
CHENAB,Jammu Tavi,19-Jun-19,-,-
CHENAB,Marala,19-Jun-19,45486,15286
CHENAB,Khanki,19-Jun-19,14490,7100
CHENAB,Qadirabad,19-Jun-19,25723,6723
CHENAB,Trimmu,19-Jun-19,46311,35711
CHENAB,Punjnad,19-Jun-19,15332,1232
RAVI,Jassar,19-Jun-19,-,2129
RAVI,Balloki,19-Jun-19,33090,9090
RAVI,Sidhnai,19-Jun-19,14967,2317
SUTLEJ,Sulemanki,19-Jun-19,14822,3212
SUTLEJ,Islam,19-Jun-19,4085,3085
INDUS,Kalabagh,19-Jun-19,149779,142779
INDUS,Chashma,19-Jun-19,166917,160417
INDUS,Taunsa,19-Jun-19,162556,145179
INDUS,Guddu,19-Jun-19,116902,90329
INDUS,Sukkar,19-Jun-19,67010,28290
INDUS,Kotri,19-Jun-19,16845,Nil
JHELUM,Kotli,19-Jun-19,-,3900
JHELUM,Mangla,19-Jun-19,58000,105166
JHELUM,Rasul,19-Jun-19,107573,85548
CHENAB,Jammu Tavi,19-Jun-19,-,-
CHENAB,Marala,19-Jun-19,41712,11512
CHENAB,Khanki,19-Jun-19,13625,6235
CHENAB,Qadirabad,19-Jun-19,27027,8027
CHENAB,Trimmu,19-Jun-19,43275,32675
CHENAB,Punjnad,19-Jun-19,15432,1232
RAVI,Jassar,19-Jun-19,-,2382
RAVI,Balloki,19-Jun-19,33090,9090
RAVI,Sidhnai,19-Jun-19,15194,2644
SUTLEJ,Sulemanki,19-Jun-19,15021,3212
SUTLEJ,Islam,19-Jun-19,4085,3085
INDUS,Kalabagh,19-Jun-19,160585,153585
INDUS,Chashma,19-Jun-19,166514,160014
INDUS,Taunsa,19-Jun-19,162556,145179
INDUS,Guddu,19-Jun-19,116902,90329
INDUS,Sukkar,19-Jun-19,67010,28290
INDUS,Kotri,19-Jun-19,16245,Nil
JHELUM,Kotli,19-Jun-19,-,3780
JHELUM,Mangla,19-Jun-19,53000,106022
JHELUM,Rasul,19-Jun-19,107573,85548
CHENAB,Jammu Tavi,19-Jun-19,-,-
CHENAB,Marala,19-Jun-19,45586,15286
CHENAB,Khanki,19-Jun-19,13625,6235
CHENAB,Qadirabad,19-Jun-19,27027,8027
CHENAB,Trimmu,19-Jun-19,45809,35209
CHENAB,Punjnad,19-Jun-19,16242,2042
RAVI,Jassar,19-Jun-19,-,2635
RAVI,Balloki,19-Jun-19,32210,8210
RAVI,Sidhnai,19-Jun-19,15394,2644
SUTLEJ,Sulemanki,19-Jun-19,15021,3212
SUTLEJ,Islam,19-Jun-19,4085,3085
INDUS,Kalabagh,20-Jun-19,139296,132296
INDUS,Chashma,20-Jun-19,166315,159815
INDUS,Taunsa,20-Jun-19,158532,141281
INDUS,Guddu,20-Jun-19,116954,86424
INDUS,Sukkar,20-Jun-19,71195,30605
INDUS,Kotri,20-Jun-19,17255,Nil
JHELUM,Kotli,20-Jun-19,-,3900
JHELUM,Mangla,20-Jun-19,51000,106226
JHELUM,Rasul,20-Jun-19,107573,85548
CHENAB,Jammu Tavi,20-Jun-19,-,-
CHENAB,Marala,20-Jun-19,45586,15286
CHENAB,Khanki,20-Jun-19,18707,11317
CHENAB,Qadirabad,20-Jun-19,27027,8027
CHENAB,Trimmu,20-Jun-19,45809,35209
CHENAB,Punjnad,20-Jun-19,16242,2042
RAVI,Jassar,20-Jun-19,-,2129
RAVI,Balloki,20-Jun-19,32210,8210
RAVI,Sidhnai,20-Jun-19,15394,2644
SUTLEJ,Sulemanki,20-Jun-19,14389,2580
SUTLEJ,Islam,20-Jun-19,2955,2155
INDUS,Kalabagh,20-Jun-19,149779,142779
INDUS,Chashma,20-Jun-19,165631,159943
INDUS,Taunsa,20-Jun-19,158532,141281
INDUS,Guddu,20-Jun-19,116954,86424
INDUS,Sukkar,20-Jun-19,71195,30605
INDUS,Kotri,20-Jun-19,17255,Nil
JHELUM,Kotli,20-Jun-19,-,3780
JHELUM,Mangla,20-Jun-19,54000,104576
JHELUM,Rasul,20-Jun-19,107573,85548
CHENAB,Jammu Tavi,20-Jun-19,-,-
CHENAB,Marala,20-Jun-19,41812,11512
CHENAB,Khanki,20-Jun-19,14600,7100
CHENAB,Qadirabad,20-Jun-19,27027,8027
CHENAB,Trimmu,20-Jun-19,48009,37409
CHENAB,Punjnad,20-Jun-19,18555,4055
RAVI,Jassar,20-Jun-19,-,2035
RAVI,Balloki,20-Jun-19,32210,8210
RAVI,Sidhnai,20-Jun-19,15394,2644
SUTLEJ,Sulemanki,20-Jun-19,14389,2580
SUTLEJ,Islam,20-Jun-19,2955,2155
INDUS,Kalabagh,20-Jun-19,160585,153585
INDUS,Chashma,20-Jun-19,153273,145961
INDUS,Taunsa,20-Jun-19,158532,141281
INDUS,Guddu,20-Jun-19,116954,86424
INDUS,Sukkar,20-Jun-19,71195,30605
INDUS,Kotri,20-Jun-19,17255,NiL
JHELUM,Kotli,20-Jun-19,-,3780
JHELUM,Mangla,20-Jun-19,56000,104576
JHELUM,Rasul,20-Jun-19,107573,85548
CHENAB,Jammu Tavi,20-Jun-19,-,-
CHENAB,Marala,20-Jun-19,45586,15286
CHENAB,Khanki,20-Jun-19,19955,12455
CHENAB,Qadirabad,20-Jun-19,27027,8027
CHENAB,Trimmu,20-Jun-19,50261,39661
CHENAB,Punjnad,20-Jun-19,18555,4055
RAVI,Jassar,20-Jun-19,-,2129
RAVI,Balloki,20-Jun-19,33090,9090
RAVI,Sidhnai,20-Jun-19,15394,2644
SUTLEJ,Sulemanki,20-Jun-19,13930,2021
SUTLEJ,Islam,20-Jun-19,2955,2155
INDUS,Kalabagh,20-Jun-19,160585,153585
INDUS,Chashma,20-Jun-19,152410,145910
INDUS,Taunsa,20-Jun-19,158532,141281
INDUS,Guddu,20-Jun-19,116954,86424
INDUS,Sukkar,20-Jun-19,71195,17255
INDUS,Kotri,20-Jun-19,17255,Nil
JHELUM,Kotli,20-Jun-19,-,3900
JHELUM,Mangla,20-Jun-19,60000,104000
JHELUM,Rasul,20-Jun-19,107573,85548
CHENAB,Jammu Tavi,20-Jun-19,-,-
CHENAB,Marala,20-Jun-19,41912,11512
CHENAB,Khanki,20-Jun-19,19955,12455
CHENAB,Qadirabad,20-Jun-19,28299,9299
CHENAB,Trimmu,20-Jun-19,53849,43749
CHENAB,Punjnad,20-Jun-19,18555,4055
RAVI,Jassar,20-Jun-19,-,2635
RAVI,Balloki,20-Jun-19,33090,9090
RAVI,Sidhnai,20-Jun-19,15625,3305
SUTLEJ,Sulemanki,20-Jun-19,13627,2021
SUTLEJ,Islam,20-Jun-19,2955,2155
INDUS,Kalabagh,21-Jun-19,150734,143734
INDUS,Chashma,21-Jun-19,152358,145858
INDUS,Taunsa,21-Jun-19,156111,138807
INDUS,Guddu,21-Jun-19,118823,87278
INDUS,Sukkar,21-Jun-19,75050,33675
INDUS,Kotri,21-Jun-19,18300,Nil
JHELUM,Kotli,21-Jun-19,-,3780
JHELUM,Mangla,21-Jun-19,55000,106809
JHELUM,Rasul,21-Jun-19,107573,85548
CHENAB,Jammu Tavi,21-Jun-19,-,-
CHENAB,Marala,21-Jun-19,45686,15286
CHENAB,Khanki,21-Jun-19,12825,5325
CHENAB,Qadirabad,21-Jun-19,28324,9324
CHENAB,Trimmu,21-Jun-19,56007,46007
CHENAB,Punjnad,21-Jun-19,21483,6983
RAVI,Jassar,21-Jun-19,-,2888
RAVI,Balloki,21-Jun-19,32210,8210
RAVI,Sidhnai,21-Jun-19,15605,3305
SUTLEJ,Sulemanki,21-Jun-19,13627,2021
SUTLEJ,Islam,21-Jun-19,2131,1231
INDUS,Kalabagh,21-Jun-19,161540,154540
INDUS,Chashma,21-Jun-19,156529,150029
INDUS,Taunsa,21-Jun-19,156111,138807
INDUS,Guddu,21-Jun-19,120200,88142
INDUS,Sukkar,21-Jun-19,75050,33675
INDUS,Kotri,21-Jun-19,18300,Nil
JHELUM,Kotli,21-Jun-19,-,4020
JHELUM,Mangla,21-Jun-19,54000,106809
JHELUM,Rasul,21-Jun-19,107573,85548
CHENAB,Jammu Tavi,21-Jun-19,-,-
CHENAB,Marala,21-Jun-19,45709,15286
CHENAB,Khanki,21-Jun-19,13735,6235
CHENAB,Qadirabad,21-Jun-19,28324,9324
CHENAB,Trimmu,21-Jun-19,62141,52141
CHENAB,Punjnad,21-Jun-19,22470,7970
RAVI,Jassar,21-Jun-19,-,2382
RAVI,Balloki,21-Jun-19,32210,8210
RAVI,Sidhnai,21-Jun-19,15605,3305
SUTLEJ,Sulemanki,21-Jun-19,13627,2021
SUTLEJ,Islam,21-Jun-19,2131,1231
INDUS,Kalabagh,21-Jun-19,169318,162318
INDUS,Chashma,21-Jun-19,156477,149977
INDUS,Taunsa,21-Jun-19,156111,138807
INDUS,Guddu,21-Jun-19,122387,90329
INDUS,Sukkar,21-Jun-19,75050,33675
INDUS,Kotri,21-Jun-19,18355,NiL
JHELUM,Kotli,21-Jun-19,-,3900
JHELUM,Mangla,21-Jun-19,54000,106043
JHELUM,Rasul,21-Jun-19,107573,85548
CHENAB,Jammu Tavi,21-Jun-19,-,-
CHENAB,Marala,21-Jun-19,45709,15286
CHENAB,Khanki,21-Jun-19,14600,7100
CHENAB,Qadirabad,21-Jun-19,25723,6723
CHENAB,Trimmu,21-Jun-19,62141,52141
CHENAB,Punjnad,21-Jun-19,22470,7970
RAVI,Jassar,21-Jun-19,-,2035
RAVI,Balloki,21-Jun-19,32210,8210
RAVI,Sidhnai,21-Jun-19,15144,2644
SUTLEJ,Sulemanki,21-Jun-19,11606,NiL
SUTLEJ,Islam,21-Jun-19,2131,1231
INDUS,Kalabagh,21-Jun-19,179962,172962
INDUS,Chashma,21-Jun-19,156582,150082
INDUS,Taunsa,21-Jun-19,156111,138807
INDUS,Guddu,21-Jun-19,122387,90329
INDUS,Sukkar,21-Jun-19,75050,33675
INDUS,Kotri,21-Jun-19,18355,Nil
JHELUM,Kotli,21-Jun-19,-,3900
JHELUM,Mangla,21-Jun-19,52000,106043
JHELUM,Rasul,21-Jun-19,107573,85548
CHENAB,Jammu Tavi,21-Jun-19,-,-
CHENAB,Marala,21-Jun-19,42035,11512
CHENAB,Khanki,21-Jun-19,19955,12455
CHENAB,Qadirabad,21-Jun-19,25723,6723
CHENAB,Trimmu,21-Jun-19,63196,52596
CHENAB,Punjnad,21-Jun-19,22470,7970
RAVI,Jassar,21-Jun-19,-,1941
RAVI,Balloki,21-Jun-19,32210,8210
RAVI,Sidhnai,21-Jun-19,13922,1322
SUTLEJ,Sulemanki,21-Jun-19,11709,Nil
SUTLEJ,Islam,21-Jun-19,2131,1231
INDUS,Kalabagh,22-Jun-19,178053,171053
INDUS,Chashma,22-Jun-19,157743,150329
INDUS,Taunsa,22-Jun-19,156111,138554
INDUS,Guddu,22-Jun-19,122387,90329
INDUS,Sukkar,22-Jun-19,76605,34630
INDUS,Kotri,22-Jun-19,18355,Nil
JHELUM,Kotli,22-Jun-19,-,3780
JHELUM,Mangla,22-Jun-19,53000,102085
JHELUM,Rasul,22-Jun-19,107573,85548
CHENAB,Jammu Tavi,22-Jun-19,-,-
CHENAB,Marala,22-Jun-19,42035,11512
CHENAB,Khanki,22-Jun-19,19955,12455
