River,Gauge Site,Date,Time,Up Stream Gauge,Up Stream Discharge,Down Stream Gauge,Down Stream Discharge,Flood Limit in Lac Cusecs (Low),Flood Limit in Lac Cusecs (Med),Flood Limit in Lac Cusecs (High),Flood Limit in Lac Cusecs     (V High),Flood Limit in Lac Cusecs     (Except. High),Remarks,,
INDUS,Sukkar,19-Jul-2025,18:00 Hrs,199.90,244890,196.40,193440,2.00,3.50,5.00,7.00,,Normal,,
INDUS,Kotri,19-Jul-2025,18:00 Hrs,69.70,157133,55.90,115988,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,19-Jul-2025,18:00 Hrs,-,-,8.10,3600,-,-,-,-,-,-,,
JHELUM,Chattar kalas,19-Jul-2025,18:00 Hrs,-,-,15.20,25170,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,19-Jul-2025,18:00 Hrs,1189.50,25000,-,8000,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Rasul,19-Jul-2025,18:00 Hrs,719.00,9150,691.50,Nil,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Khushab bridge,19-Jul-2025,18:00 Hrs,-,-,591.40,26868,-,-,-,-,-,-,,
CHENAB,Marala,19-Jul-2025,18:00 Hrs,812.00,66394,797.90,43444,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Khanki,19-Jul-2025,18:00 Hrs,733.00,55259,724.90,51047,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Qadirabad,19-Jul-2025,18:00 Hrs,700.00,63924,688.60,56432,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Chiniot Bridge,19-Jul-2025,18:00 Hrs,-,-,588.90,49442,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Trimmu,19-Jul-2025,18:00 Hrs,490.70,27788,482.20,16688,1.50,2.00,3.00,4.50,6.00,Normal,,
CHENAB,Punjnad,19-Jul-2025,18:00 Hrs,338.00,31740,329.30,18810,1.50,2.00,3.00,4.50,6.00,Normal,,
RAVI,Thein,19-Jul-2025,18:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
RAVI,Jassar,19-Jul-2025,18:00 Hrs,-,-,774.90,1100,0.50,0.75,1.00,1.50,2.00,Normal,,
RAVI,Ravi Syphon,19-Jul-2025,18:00 Hrs,-,-,696.30,9624,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Shahdara,19-Jul-2025,18:00 Hrs,-,-,672.00,9575,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Balloki,19-Jul-2025,18:00 Hrs,633.00,42025,622.20,22325,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Sidhnai,19-Jul-2025,18:00 Hrs,467.00,33400,459.10,23350,0.30,0.46,0.60,0.90,1.30,Normal,,
SUTLEJ,Bhakara**,19-Jul-2025,18:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
SUTLEJ,G.S Wala*,19-Jul-2025,18:00 Hrs,-,-,11.80,3409,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Bakarke,19-Jul-2025,18:00 Hrs,-,-,616.20,Nil,-,-,-,-,-,-,,
SUTLEJ,Sulemanki,19-Jul-2025,18:00 Hrs,569.00,19367,561.70,13163,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Islam,19-Jul-2025,18:00 Hrs,455.00,18920,441.65,16970,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,M/Syphon,19-Jul-2025,18:00 Hrs,419.10,8693,419.10,8693,0.50,0.80,1.20,1.75,-,Normal,,
BEAS,Pong,19-Jul-2025,18:00 Hrs,-,-,-,-,-,-,-,-,,-,,
N/BEIN,Shakar Gargh,19-Jul-2025,18:00 Hrs,-,-,875.90,92,0.016,0.030,0.240,0.260,0.43,Normal,,
N/DEG,Kingra Bridge,19-Jul-2025,18:00 Hrs,-,-,885.20,220,0.100,0.150,0.220,0.300,-,Normal,,
N/AIK,Ura,19-Jul-2025,18:00 Hrs,-,-,814.00,243,0.020,0.090,0.130,0.160,0.330,Normal,,
N/BASANTER,Narowal,19-Jul-2025,18:00 Hrs,-,-,777.70,10,0.025,0.041,0.075,0.116,0.178,Normal,,
N/PALKHU,Wazirabad,19-Jul-2025,18:00 Hrs,-,-,749.80,410,0.025,0.031,0.050,0.250,0.260,Normal,,
N/LAI,Gawalmandi,19-Jul-2025,18:00 Hrs,-,-,NR,NR,20,,,,,Normal,,
N/LAI,Katarian,19-Jul-2025,18:00 Hrs,-,-,NR,NR,20,,,,,Normal,,
KABUL,Nowshehra,19-Jul-2025,23:59 Hrs,-,-,5.86,30500,0.60,0.80,1.00,1.20,,Normal,,
INDUS,Tarbela,19-Jul-2025,23:59 Hrs,1530.34,235000,-,262900,2.50,3.75,5.00,6.50,,Low,,
INDUS,khairabad,19-Jul-2025,23:59 Hrs,-,-,21.00,214100,2.25,3.75,5.00,6.50,8.00,Normal,,
INDUS,Kalabagh,19-Jul-2025,23:59 Hrs,693.50,260263,681.30,252314,2.50,3.75,5.00,6.50,8.00,Low,,
INDUS,Chashma,19-Jul-2025,23:59 Hrs,641.00,385575,617.00,363775,2.50,3.75,5.00,6.50,8.00,Low,,
INDUS,Taunsa,19-Jul-2025,23:59 Hrs,445.50,354664,432.60,342664,2.50,3.75,5.00,6.50,,Low,,
INDUS,Ghazi ghat*,19-Jul-2025,23:59 Hrs,-,-,392.10,-,-,-,-,-,-,-,,
INDUS,Guddu,19-Jul-2025,23:59 Hrs,258.50,221202,250.70,184364,2.00,3.50,5.00,7.00,9.00,Normal,,
INDUS,Sukkar,19-Jul-2025,23:59 Hrs,199.90,244890,196.40,193440,2.00,3.50,5.00,7.00,,Normal,,
INDUS,Kotri,19-Jul-2025,23:59 Hrs,69.70,157133,55.90,115988,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,19-Jul-2025,23:59 Hrs,-,-,8.00,3400,-,-,-,-,-,-,,
JHELUM,Chattar kalas,19-Jul-2025,23:59 Hrs,-,-,15.30,25460,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,19-Jul-2025,23:59 Hrs,1189.60,25000,-,8000,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Rasul,19-Jul-2025,23:59 Hrs,719.00,7890,691.50,Nil,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Khushab bridge,19-Jul-2025,23:59 Hrs,-,-,591.60,24100,-,-,-,-,-,-,,
CHENAB,Marala,19-Jul-2025,23:59 Hrs,812.00,66394,797.90,43444,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Khanki,19-Jul-2025,23:59 Hrs,733.00,55259,724.90,51047,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Qadirabad,19-Jul-2025,23:59 Hrs,700.00,63473,688.50,53889,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Chiniot Bridge,19-Jul-2025,23:59 Hrs,-,-,589.10,54255,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Trimmu,19-Jul-2025,23:59 Hrs,490.70,27788,482.20,16688,1.50,2.00,3.00,4.50,6.00,Normal,,
CHENAB,Punjnad,19-Jul-2025,23:59 Hrs,338.00,31770,329.00,18810,1.50,2.00,3.00,4.50,6.00,Normal,,
RAVI,Thein,19-Jul-2025,23:59 Hrs,-,-,-,-,-,-,-,-,-,-,,
RAVI,Jassar,19-Jul-2025,23:59 Hrs,-,-,774.90,1100,0.50,0.75,1.00,1.50,2.00,Normal,,
RAVI,Ravi Syphon,19-Jul-2025,23:59 Hrs,-,-,696.30,9624,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Shahdara,19-Jul-2025,23:59 Hrs,-,-,672.00,9575,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Balloki,19-Jul-2025,23:59 Hrs,633.00,39845,621.60,18045,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Sidhnai,19-Jul-2025,23:59 Hrs,467.00,34279,459.30,24229,0.30,0.46,0.60,0.90,1.30,Normal,,
SUTLEJ,Bhakara**,19-Jul-2025,23:59 Hrs,-,-,-,-,-,-,-,-,-,-,,
SUTLEJ,G.S Wala*,19-Jul-2025,23:59 Hrs,-,-,12.20,4074,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Bakarke,19-Jul-2025,23:59 Hrs,-,-,616.20,Nil,-,-,-,-,-,-,,
SUTLEJ,Sulemanki,19-Jul-2025,23:59 Hrs,569.00,19367,562.70,13163,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Islam,19-Jul-2025,23:59 Hrs,455.00,18920,441.65,16970,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,M/Syphon,19-Jul-2025,23:59 Hrs,419.10,8693,419.10,8693,0.50,0.80,1.20,1.75,-,Normal,,
BEAS,Pong,19-Jul-2025,23:59 Hrs,-,-,-,-,-,-,-,-,,-,,
N/BEIN,Shakar Gargh,19-Jul-2025,23:59 Hrs,-,-,875.90,92,0.016,0.030,0.240,0.260,0.43,Normal,,
N/DEG,Kingra Bridge,19-Jul-2025,23:59 Hrs,-,-,885.20,220,0.100,0.150,0.220,0.300,-,Normal,,
N/AIK,Ura,19-Jul-2025,23:59 Hrs,-,-,814.00,243,0.020,0.090,0.130,0.160,0.330,Normal,,
N/BASANTER,Narowal,19-Jul-2025,23:59 Hrs,-,-,777.70,10,0.025,0.041,0.075,0.116,0.178,Normal,,
N/PALKHU,Wazirabad,19-Jul-2025,23:59 Hrs,-,-,739.80,410,0.025,0.031,0.050,0.250,0.260,Normal,,
N/LAI,Gawalmandi,19-Jul-2025,23:59 Hrs,-,-,NR,NR,20,,,,,Normal,,
N/LAI,Katarian,19-Jul-2025,23:59 Hrs,-,-,NR,NR,20,,,,,Normal,,
KABUL,Nowshehra,20-Jul-2025,06:00 Hrs,-,-,5.72,29600,0.60,0.80,1.00,1.20,,Normal,,
INDUS,Tarbela,20-Jul-2025,06:00 Hrs,1530.00,213000,-,262600,2.50,3.75,5.00,6.50,,Low,,
INDUS,khairabad,20-Jul-2025,06:00 Hrs,-,-,26.00,255400,2.25,3.75,5.00,6.50,8.00,Low,,
INDUS,Kalabagh,20-Jul-2025,06:00 Hrs,693.50,229576,680.00,221627,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Chashma,20-Jul-2025,06:00 Hrs,641.00,357704,616.80,335904,2.50,3.75,5.00,6.50,8.00,Low,,
INDUS,Taunsa,20-Jul-2025,06:00 Hrs,445.50,366954,432.80,354954,2.50,3.75,5.00,6.50,,Low,,
INDUS,Ghazi ghat*,20-Jul-2025,06:00 Hrs,-,-,392.20,-,-,-,-,-,-,-,,
INDUS,Guddu,20-Jul-2025,06:00 Hrs,258.70,208938,250.50,179466,2.00,3.50,5.00,7.00,9.00,Normal,,
INDUS,Sukkar,20-Jul-2025,06:00 Hrs,199.90,200225,196.00,150525,2.00,3.50,5.00,7.00,,Normal,,
INDUS,Kotri,20-Jul-2025,06:00 Hrs,69.70,162467,56.10,121742,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,20-Jul-2025,06:00 Hrs,-,-,8.00,3400,-,-,-,-,-,-,,
JHELUM,Chattar kalas,20-Jul-2025,06:00 Hrs,-,-,15.10,24980,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,20-Jul-2025,06:00 Hrs,1189.85,30000,-,8000,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Rasul,20-Jul-2025,06:00 Hrs,719.00,7890,691.50,Nil,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Khushab bridge,20-Jul-2025,06:00 Hrs,-,-,590.00,18000,-,-,-,-,-,-,,
CHENAB,Marala,20-Jul-2025,06:00 Hrs,812.00,55072,797.00,32122,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Khanki,20-Jul-2025,06:00 Hrs,733.00,53666,724.70,49434,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Qadirabad,20-Jul-2025,06:00 Hrs,700.00,57814,688.00,47814,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Chiniot Bridge,20-Jul-2025,06:00 Hrs,-,-,589.00,51408,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Trimmu,20-Jul-2025,06:00 Hrs,491.00,39646,483.60,28546,1.50,2.00,3.00,4.50,6.00,Normal,,
CHENAB,Punjnad,20-Jul-2025,06:00 Hrs,338.00,31770,329.30,18810,1.50,2.00,3.00,4.50,6.00,Normal,,
RAVI,Thein,20-Jul-2025,06:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
RAVI,Jassar,20-Jul-2025,06:00 Hrs,-,-,774.90,1100,0.50,0.75,1.00,1.50,2.00,Normal,,
RAVI,Ravi Syphon,20-Jul-2025,06:00 Hrs,-,-,696.30,9624,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Shahdara,20-Jul-2025,06:00 Hrs,-,-,672.00,9575,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Balloki,20-Jul-2025,06:00 Hrs,633.00,35570,620.80,13570,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Sidhnai,20-Jul-2025,06:00 Hrs,467.00,34279,459.30,24229,0.30,0.46,0.60,0.90,1.30,Normal,,
SUTLEJ,Bhakara**,20-Jul-2025,06:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
SUTLEJ,G.S Wala*,20-Jul-2025,06:00 Hrs,-,-,12.00,3620,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Bakarke,20-Jul-2025,06:00 Hrs,-,-,616.20,Nil,-,-,-,-,-,-,,
SUTLEJ,Sulemanki,20-Jul-2025,06:00 Hrs,569.00,21094,562.90,14890,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Islam,20-Jul-2025,06:00 Hrs,455.00,18920,441.65,16970,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,M/Syphon,20-Jul-2025,06:00 Hrs,419.10,8693,419.10,8693,0.50,0.80,1.20,1.75,-,Normal,,
BEAS,Pong,20-Jul-2025,06:00 Hrs,-,-,-,-,-,-,-,-,,-,,
N/BEIN,Shakar Gargh,20-Jul-2025,06:00 Hrs,-,-,875.90,92,0.016,0.030,0.240,0.260,0.43,Normal,,
N/DEG,Kingra Bridge,20-Jul-2025,06:00 Hrs,-,-,885.20,220,0.100,0.150,0.220,0.300,-,Normal,,
N/AIK,Ura,20-Jul-2025,06:00 Hrs,-,-,814.00,243,0.020,0.090,0.130,0.160,0.330,Normal,,
N/BASANTER,Narowal,20-Jul-2025,06:00 Hrs,-,-,777.70,10,0.025,0.041,0.075,0.116,0.178,Normal,,
N/PALKHU,Wazirabad,20-Jul-2025,06:00 Hrs,-,-,739.80,410,0.025,0.031,0.050,0.250,0.260,Normal,,
N/LAI,Gawalmandi,20-Jul-2025,06:00 Hrs,-,-,NR,NR,20,,,,,Normal,,
N/LAI,Katarian,20-Jul-2025,06:00 Hrs,-,-,NR,NR,20,,,,,Normal,,
KABUL,Nowshehra,20-Jul-2025,12:00 Hrs,-,-,5.56,28700,0.60,0.80,1.00,1.20,,Normal,,
INDUS,Tarbela,20-Jul-2025,12:00 Hrs,1530.00,282000,-,282300,2.50,3.75,5.00,6.50,,Low,,
INDUS,khairabad,20-Jul-2025,12:00 Hrs,-,-,25.00,247100,2.25,3.75,5.00,6.50,8.00,Low,,
INDUS,Kalabagh,20-Jul-2025,12:00 Hrs,693.50,229438,680.20,221489,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Chashma,20-Jul-2025,12:00 Hrs,641.00,295494,616.00,273644,2.50,3.75,5.00,6.50,8.00,Low,,
INDUS,Taunsa,20-Jul-2025,12:00 Hrs,445.50,383420,433.10,371420,2.50,3.75,5.00,6.50,,Low,,
INDUS,Ghazi ghat*,20-Jul-2025,12:00 Hrs,-,-,393.20,-,-,-,-,-,-,-,,
INDUS,Guddu,20-Jul-2025,12:00 Hrs,258.80,226741,250.70,198632,2.00,3.50,5.00,7.00,9.00,Normal,,
INDUS,Sukkar,20-Jul-2025,12:00 Hrs,199.90,192110,195.90,144450,2.00,3.50,5.00,7.00,,Normal,,
INDUS,Kotri,20-Jul-2025,12:00 Hrs,69.70,164245,56.20,125220,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,20-Jul-2025,12:00 Hrs,-,-,8.60,4690,-,-,-,-,-,-,,
JHELUM,Chattar kalas,20-Jul-2025,12:00 Hrs,-,-,15.60,26320,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,20-Jul-2025,12:00 Hrs,1190.10,36000,-,8000,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Rasul,20-Jul-2025,12:00 Hrs,719.00,8465,691.50,Nil,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Khushab bridge,20-Jul-2025,12:00 Hrs,-,-,589.50,15409,-,-,-,-,-,-,,
CHENAB,Marala,20-Jul-2025,12:00 Hrs,812.00,61227,797.20,38277,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Khanki,20-Jul-2025,12:00 Hrs,733.00,53666,724.70,49434,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Qadirabad,20-Jul-2025,12:00 Hrs,700.00,56524,688.00,46524,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Chiniot Bridge,20-Jul-2025,12:00 Hrs,-,-,588.80,47835,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Trimmu,20-Jul-2025,12:00 Hrs,491.00,39646,483.60,28546,1.50,2.00,3.00,4.50,6.00,Normal,,
CHENAB,Punjnad,20-Jul-2025,12:00 Hrs,338.00,30642,328.70,17582,1.50,2.00,3.00,4.50,6.00,Normal,,
RAVI,Thein,20-Jul-2025,12:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
RAVI,Jassar,20-Jul-2025,12:00 Hrs,-,-,775.00,1190,0.50,0.75,1.00,1.50,2.00,Normal,,
RAVI,Ravi Syphon,20-Jul-2025,12:00 Hrs,-,-,696.30,9624,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Shahdara,20-Jul-2025,12:00 Hrs,-,-,672.00,9575,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Balloki,20-Jul-2025,12:00 Hrs,633.00,33335,620.40,11335,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Sidhnai,20-Jul-2025,12:00 Hrs,467.00,34812,459.50,24762,0.30,0.46,0.60,0.90,1.30,Normal,,
SUTLEJ,Bhakara**,20-Jul-2025,12:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
SUTLEJ,G.S Wala*,20-Jul-2025,12:00 Hrs,-,-,12.00,3620,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Bakarke,20-Jul-2025,12:00 Hrs,-,-,616.20,Nil,-,-,-,-,-,-,,
SUTLEJ,Sulemanki,20-Jul-2025,12:00 Hrs,569.00,21094,562.90,14890,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Islam,20-Jul-2025,12:00 Hrs,455.00,18970,441.65,16970,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,M/Syphon,20-Jul-2025,12:00 Hrs,419.30,10182,419.30,10182,0.50,0.80,1.20,1.75,-,Normal,,
BEAS,Pong,20-Jul-2025,12:00 Hrs,-,-,-,-,-,-,-,-,,-,,
N/BEIN,Shakar Gargh,20-Jul-2025,12:00 Hrs,-,-,875.90,92,0.016,0.030,0.240,0.260,0.43,Normal,,
N/DEG,Kingra Bridge,20-Jul-2025,12:00 Hrs,-,-,885.20,220,0.100,0.150,0.220,0.300,-,Normal,,
N/AIK,Ura,20-Jul-2025,12:00 Hrs,-,-,813.90,223,0.020,0.090,0.130,0.160,0.330,Normal,,
N/BASANTER,Narowal,20-Jul-2025,12:00 Hrs,-,-,777.70,10,0.025,0.041,0.075,0.116,0.178,Normal,,
N/PALKHU,Wazirabad,20-Jul-2025,12:00 Hrs,-,-,739.70,390,0.025,0.031,0.050,0.250,0.260,Normal,,
N/LAI,Gawalmandi,20-Jul-2025,12:00 Hrs,-,-,NR,NR,20,,,,,Normal,,
N/LAI,Katarian,20-Jul-2025,12:00 Hrs,-,-,NR,NR,20,,,,,Normal,,
KABUL,Nowshehra,20-Jul-2025,18:00 Hrs,-,-,5.68,29300,0.60,0.80,1.00,1.20,,Normal,,
INDUS,Tarbela,20-Jul-2025,18:00 Hrs,1530.00,299000,-,302300,2.50,3.75,5.00,6.50,,Low,,
INDUS,khairabad,20-Jul-2025,18:00 Hrs,-,-,26.40,258700,2.25,3.75,5.00,6.50,8.00,Low,,
INDUS,Kalabagh,20-Jul-2025,18:00 Hrs,693.50,252869,681.10,244920,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Chashma,20-Jul-2025,18:00 Hrs,641.00,282899,615.40,260799,2.50,3.75,5.00,6.50,8.00,Low,,
INDUS,Taunsa,20-Jul-2025,18:00 Hrs,445.50,406385,433.50,395385,2.50,3.75,5.00,6.50,,Medium,,
INDUS,Taunsa,20-Jul-2025,21:00 Hrs,445.50,423047,433.80,415047,2.50,3.75,5.00,6.50,,Medium,,
INDUS,Ghazi ghat*,20-Jul-2025,18:00 Hrs,-,-,393.30,-,-,-,-,-,-,-,,
INDUS,Guddu,20-Jul-2025,18:00 Hrs,258.80,219175,251.00,198297,2.00,3.50,5.00,7.00,9.00,Normal,,
INDUS,Sukkar,20-Jul-2025,18:00 Hrs,199.90,182010,195.70,135050,2.00,3.50,5.00,7.00,,Normal,,
INDUS,Kotri,20-Jul-2025,18:00 Hrs,69.70,166193,56.40,128148,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,20-Jul-2025,18:00 Hrs,-,-,10.70,11350,-,-,-,-,-,-,,
JHELUM,Chattar kalas,20-Jul-2025,18:00 Hrs,-,-,15.80,26910,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,20-Jul-2025,18:00 Hrs,1190.25,25000,-,8000,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Rasul,20-Jul-2025,18:00 Hrs,719.00,9090,691.50,Nil,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Khushab bridge,20-Jul-2025,18:00 Hrs,-,-,589.00,12817,-,-,-,-,-,-,,
CHENAB,Marala,20-Jul-2025,18:00 Hrs,812.00,66640,797.90,43444,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Khanki,20-Jul-2025,18:00 Hrs,733.00,52590,724.30,48309,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Qadirabad,20-Jul-2025,18:00 Hrs,700.00,55524,687.80,44091,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Chiniot Bridge,20-Jul-2025,18:00 Hrs,-,-,588.70,46229,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Trimmu,20-Jul-2025,18:00 Hrs,491.00,49312,484.70,38312,1.50,2.00,3.00,4.50,6.00,Normal,,
CHENAB,Punjnad,20-Jul-2025,18:00 Hrs,338.00,30642,328.70,17582,1.50,2.00,3.00,4.50,6.00,Normal,,
RAVI,Thein,20-Jul-2025,18:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
RAVI,Jassar,20-Jul-2025,18:00 Hrs,-,-,774.80,1009,0.50,0.75,1.00,1.50,2.00,Normal,,
RAVI,Ravi Syphon,20-Jul-2025,18:00 Hrs,-,-,696.30,9624,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Shahdara,20-Jul-2025,18:00 Hrs,-,-,672.00,9575,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Balloki,20-Jul-2025,18:00 Hrs,633.00,32465,620.00,10465,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Sidhnai,20-Jul-2025,18:00 Hrs,467.00,37205,459.60,26555,0.30,0.46,0.60,0.90,1.30,Normal,,
SUTLEJ,Bhakara**,20-Jul-2025,18:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
SUTLEJ,G.S Wala*,20-Jul-2025,18:00 Hrs,-,-,11.50,2810,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Bakarke,20-Jul-2025,18:00 Hrs,-,-,616.20,Nil,-,-,-,-,-,-,,
SUTLEJ,Sulemanki,20-Jul-2025,18:00 Hrs,569.00,18731,562.00,10927,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Islam,20-Jul-2025,18:00 Hrs,455.00,13642,441.30,12142,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,M/Syphon,20-Jul-2025,18:00 Hrs,419.30,10182,419.30,10182,0.50,0.80,1.20,1.75,-,Normal,,
BEAS,Pong,20-Jul-2025,18:00 Hrs,-,-,-,-,-,-,-,-,,-,,
N/BEIN,Shakar Gargh,20-Jul-2025,18:00 Hrs,-,-,875.90,92,0.016,0.030,0.240,0.260,0.43,Normal,,
N/DEG,Kingra Bridge,20-Jul-2025,18:00 Hrs,-,-,885.20,220,0.100,0.150,0.220,0.300,-,Normal,,
N/AIK,Ura,20-Jul-2025,18:00 Hrs,-,-,813.80,204,0.020,0.090,0.130,0.160,0.330,Normal,,
N/BASANTER,Narowal,20-Jul-2025,18:00 Hrs,-,-,777.60,5,0.025,0.041,0.075,0.116,0.178,Normal,,
N/PALKHU,Wazirabad,20-Jul-2025,18:00 Hrs,-,-,739.90,390,0.025,0.031,0.050,0.250,0.260,Normal,,
N/LAI,Gawalmandi,20-Jul-2025,18:00 Hrs,-,-,NR,NR,20,,,,,Normal,,
N/LAI,Katarian,20-Jul-2025,18:00 Hrs,-,-,NR,NR,20,,,,,Normal,,
KABUL,Nowshehra,20-Jul-2025,23:59 Hrs,-,-,5.84,30400,0.60,0.80,1.00,1.20,,Normal,,
INDUS,Tarbela,20-Jul-2025,23:59 Hrs,1530.00,301000,-,302400,2.50,3.75,5.00,6.50,,Low,,
INDUS,khairabad,20-Jul-2025,23:59 Hrs,-,-,29.00,280300,2.25,3.75,5.00,6.50,8.00,Low,,
INDUS,Kalabagh,20-Jul-2025,23:59 Hrs,693.50,267149,681.40,259200,2.50,3.75,5.00,6.50,8.00,Low,,
INDUS,Chashma,20-Jul-2025,23:59 Hrs,641.00,287453,615.40,265253,2.50,3.75,5.00,6.50,8.00,Low,,
INDUS,Taunsa,20-Jul-2025,23:59 Hrs,445.50,423621,433.90,418621,2.50,3.75,5.00,6.50,,Medium,,
INDUS,Ghazi ghat*,20-Jul-2025,23:59 Hrs,-,-,393.80,-,-,-,-,-,-,-,,
INDUS,Guddu,20-Jul-2025,23:59 Hrs,258.80,219175,251.00,198297,2.00,3.50,5.00,7.00,9.00,Normal,,
INDUS,Sukkar,20-Jul-2025,23:59 Hrs,199.30,182010,195.70,135050,2.00,3.50,5.00,7.00,,Normal,,
INDUS,Kotri,20-Jul-2025,23:59 Hrs,69.70,166193,56.40,128148,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,20-Jul-2025,23:59 Hrs,-,-,10.00,8730,-,-,-,-,-,-,,
JHELUM,Chattar kalas,20-Jul-2025,23:59 Hrs,-,-,15.50,26030,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,20-Jul-2025,23:59 Hrs,1190.50,40000,-,8000,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Rasul,20-Jul-2025,23:59 Hrs,719.00,9390,691.50,Nil,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Khushab bridge,20-Jul-2025,23:59 Hrs,-,-,588.00,9065,-,-,-,-,-,-,,
